timestamp_ms,distance_mm,session_time_s,repetition_count
555575,,0,0
555825,,0,0
556158,,0,1
556491,,1,1
556823,,1,1
557156,,1,1
557488,,2,1
557819,,2,1
558153,,2,1
558485,,3,1
558824,,3,1
559151,,3,1
559484,,4,1
559825,,4,1
560149,,4,2
560482,,5,2
560820,,5,2
561150,,5,2
561481,,6,2
561818,,6,2
562148,,6,2
562479,,7,2
562816,,7,2
563147,,7,2
563477,,8,3
563813,,8,3
564145,,8,3
564476,,9,3
564813,,9,3
565143,,9,3
565474,,10,3
565815,,10,3
566140,,10,3
566473,,11,3
566812,,11,3
567137,,11,4
567472,,12,4
567804,,12,4
568136,,12,4
568469,,13,4
568802,,13,4
